call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,age,customer_value,FN,FP,Churn
8,0,38,0,4370,71,5,17,3,1,1,30,197.64,177.876,69.764,0
0,0,39,0,318,5,7,4,2,1,2,25,46.035,41.4315,60,0
10,0,37,0,2453,60,359,24,3,1,1,30,1536.52,1382.868,203.652,0
10,0,38,0,4198,66,1,35,1,1,1,15,240.02,216.018,74.002,0
3,0,38,0,2393,58,2,33,1,1,1,15,145.805,131.2245,64.5805,0
11,0,38,1,3775,82,32,28,3,1,1,30,282.28,254.052,78.228,0
4,0,38,0,2360,39,285,18,3,1,1,30,1235.96,1112.364,173.596,0
13,0,37,2,9115,121,144,43,3,1,1,30,945.44,850.896,144.544,0
7,0,38,0,13773,169,0,44,3,1,1,30,557.68,501.912,105.768,0
7,0,38,1,4515,83,2,25,3,1,1,30,191.92,172.728,69.192,0
6,0,38,0,5918,95,7,12,3,1,1,30,268.52,241.668,76.852,0
9,0,38,0,2238,54,8,17,3,1,2,30,123.68,111.312,62.368,0
25,0,38,3,15140,225,54,32,3,1,1,30,830.6,747.54,133.06,0
4,0,38,1,3095,27,483,8,3,1,1,30,2056.88,1851.192,255.688,0
9,0,37,0,15485,182,150,30,2,1,1,25,1380.015,1242.0135,188.0015,0
3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,906.696,150.744,0
0,0,37,0,875,14,0,11,2,1,2,25,40.005,36.0045,60,1
2,0,38,0,710,14,13,8,3,1,2,30,80.96,72.864,60,0
0,0,37,0,0,0,0,0,2,1,2,25,0,0,60,1
3,0,37,0,7508,127,384,43,2,1,1,25,2071.575,1864.4175,257.1575,0
7,0,37,1,11465,154,11,47,4,1,1,45,317.975,286.1775,81.7975,0
8,0,37,1,6718,75,108,37,2,1,1,25,791.685,712.5165,129.1685,0
23,1,33,0,955,47,16,17,2,1,2,25,117.09,105.381,61.709,1
21,1,36,8,10435,93,1,42,5,2,1,55,159.42,143.478,65.942,0
13,1,36,1,5818,98,26,24,2,1,1,25,383.22,344.898,88.322,1
1,0,34,0,2840,22,0,14,3,1,1,30,114.48,103.032,61.448,0
9,0,35,0,2990,41,9,16,3,1,2,30,157.24,141.516,65.724,1
9,1,36,0,2268,44,34,31,3,1,2,30,228.48,205.632,72.848,1
0,0,36,0,133,2,0,2,3,1,2,30,5.4,4.86,60,1
1,0,36,0,1668,25,0,6,3,1,1,30,67.72,60.948,60,0
3,0,33,1,6785,97,14,22,5,1,1,55,124.23,111.807,62.423,0
0,1,36,0,628,7,9,4,4,1,2,45,38.375,34.5375,60,1
0,0,36,1,338,4,4,2,5,1,1,55,11.13,10.017,60,0
25,0,31,3,16075,238,0,80,2,2,1,25,734.085,660.6765,123.4085,0
6,0,34,3,6965,116,271,33,2,2,1,25,1538.145,1384.3305,203.8145,0
2,0,36,0,3718,82,2,28,2,1,1,25,180,162,68,0
3,0,35,0,1665,44,38,20,3,1,2,30,220.36,198.324,72.036,0
6,0,36,0,2780,53,175,23,2,1,1,25,914.985,823.4865,141.4985,0
4,0,27,1,1315,36,193,11,2,2,1,25,929.295,836.3655,142.9295,0
4,0,26,0,1568,39,30,68,4,1,1,45,115.175,103.6575,61.5175,0
11,0,27,0,700,25,10,7,2,1,2,25,77.625,69.8625,60,0
0,0,26,0,825,10,21,3,4,1,2,45,73.375,66.0375,60,1
10,0,25,0,1225,32,19,13,2,1,1,25,142.065,127.8585,64.2065,0
2,0,25,0,3225,61,8,23,3,1,1,30,163.44,147.096,66.344,0
2,0,18,0,1695,26,28,14,2,1,1,25,203.445,183.1005,70.3445,0
16,0,17,1,6393,141,85,42,2,2,1,25,676.53,608.877,117.653,0
12,0,15,0,8933,171,73,40,4,1,1,45,410.1,369.09,91.01,0
8,0,16,3,2853,45,31,19,3,2,1,30,239.92,215.928,73.992,0
2,0,9,1,4390,40,215,10,3,1,1,30,1037.2,933.48,153.72,0
3,0,9,1,1488,19,0,7,3,1,1,30,60.28,54.252,60,1
11,0,40,1,4430,74,10,19,3,1,1,30,220.16,198.144,72.016,0
3,0,41,1,378,8,12,6,3,1,1,30,63.44,57.096,60,0
13,0,39,1,2513,63,364,26,3,1,1,30,1559.04,1403.136,205.904,0
13,0,40,1,4258,69,6,37,1,1,1,15,270.985,243.8865,77.0985,0
6,0,40,1,2453,61,7,35,2,1,1,25,144.63,130.167,64.463,0
14,0,40,2,3835,85,37,30,3,2,1,30,304.8,274.32,80.48,0
7,0,40,1,2420,42,290,20,3,1,1,30,1258.48,1132.632,175.848,0
16,0,39,3,9175,124,149,45,3,1,1,30,967.96,871.164,146.796,0
10,0,40,1,13833,172,5,46,3,1,1,30,580.2,522.18,108.02,0
10,0,40,2,4575,86,7,27,3,1,1,30,214.44,192.996,71.444,0
9,0,40,1,5978,98,12,14,3,1,1,30,291.04,261.936,79.104,0
12,0,40,1,2298,57,13,19,3,1,1,30,146.2,131.58,64.62,0
28,0,40,4,15200,228,59,34,3,1,1,30,853.12,767.808,135.312,0
7,0,40,2,3155,30,488,10,3,1,1,30,2079.4,1871.46,257.94,0
12,0,39,1,15545,185,155,32,2,1,1,25,1405.35,1264.815,190.535,0
6,0,39,2,6560,89,191,28,3,1,1,30,1029.96,926.964,152.996,0
3,0,39,1,935,17,5,13,2,1,1,25,65.34,58.806,60,0
5,0,40,1,770,17,18,10,3,1,1,30,103.48,93.132,60.348,0
3,1,39,1,60,3,5,2,2,1,1,25,25.335,22.8015,60,1
6,0,39,1,7568,130,389,45,3,1,1,30,1863.92,1677.528,236.392,0
10,0,39,2,11525,157,16,49,4,2,1,45,332.05,298.845,83.205,0
11,0,39,2,6778,78,113,39,2,1,1,25,817.02,735.318,131.702,0
26,1,35,1,1015,50,21,19,3,1,1,30,126.6,113.94,62.66,1
24,1,38,9,10495,96,6,44,5,2,1,55,167.865,151.0785,66.7865,0
16,0,38,2,5878,101,31,26,2,1,1,25,408.555,367.6995,90.8555,0
4,0,36,1,2900,25,5,16,3,1,1,30,137,123.3,63.7,0
12,0,37,1,3050,44,14,18,3,1,1,30,179.76,161.784,67.976,1
12,1,38,1,2328,47,39,33,3,1,1,30,251,225.9,75.1,1
3,0,38,1,193,5,5,4,3,1,1,30,27.92,25.128,60,1
4,0,38,1,1728,28,5,8,4,1,1,45,56.4,50.76,60,0
6,0,35,2,6845,100,19,24,5,1,1,55,132.675,119.4075,63.2675,0
3,0,38,1,688,10,14,6,4,1,1,45,52.45,47.205,60,1
3,0,38,2,398,7,9,4,5,1,1,55,19.575,17.6175,60,0
28,0,33,4,16135,241,5,82,2,1,1,25,759.42,683.478,125.942,0
9,1,36,4,7025,119,276,35,3,2,1,30,1389.76,1250.784,188.976,0
5,0,38,1,3778,85,7,30,3,1,1,30,182.52,164.268,68.252,0
6,0,37,1,1725,47,43,22,3,1,1,30,242.88,218.592,74.288,0
9,0,38,1,2840,56,180,25,2,1,1,25,940.32,846.288,144.032,0
7,0,29,2,1375,39,198,13,3,2,1,30,848.56,763.704,134.856,0
7,0,28,1,1628,42,35,70,4,1,1,45,129.25,116.325,62.925,0
14,0,29,1,760,28,15,9,3,1,1,30,91.52,82.368,60,0
3,0,28,1,885,13,26,5,4,1,1,45,87.45,78.705,60,0
13,0,27,1,1285,35,24,15,2,1,1,25,167.4,150.66,66.74,0
5,0,27,1,3285,64,13,25,3,1,1,30,185.96,167.364,68.596,0
5,0,20,1,1755,29,33,16,2,1,1,25,228.78,205.902,72.878,0
19,0,19,2,6453,144,90,44,2,2,1,25,701.865,631.6785,120.1865,0
15,0,17,1,8993,174,78,42,5,1,1,55,254.505,229.0545,75.4505,0
11,0,18,4,2913,48,36,21,3,1,1,30,262.44,236.196,76.244,0
5,0,11,2,4450,43,220,12,3,1,1,30,1059.72,953.748,155.972,0
6,1,11,2,1548,22,5,9,3,1,1,30,82.8,74.52,60,1
5,0,36,0,4310,68,0,15,2,1,1,25,197.01,177.309,69.701,0
0,0,37,0,258,2,2,2,2,1,2,25,20.7,18.63,60,0
7,0,35,0,2393,57,354,22,2,1,1,25,1703.25,1532.925,220.325,0
7,0,36,0,4138,63,0,33,1,1,1,15,231.055,207.9495,73.1055,0
0,0,36,0,2333,55,0,31,1,1,1,15,131.34,118.206,63.134,0
8,0,36,0,3715,79,27,26,3,1,1,30,259.76,233.784,75.976,0
1,0,36,0,2300,36,280,16,3,1,1,30,1213.44,1092.096,171.344,0
10,0,35,1,9055,118,139,41,3,1,1,30,922.92,830.628,142.292,0
4,0,36,0,13713,166,0,42,3,1,1,30,555.16,499.644,105.516,0
4,0,36,0,4455,80,0,23,3,1,1,30,181.4,163.26,68.14,0
3,0,36,0,5858,92,2,10,2,1,1,25,276.75,249.075,77.675,0
6,1,36,0,2178,51,3,15,3,1,2,30,101.16,91.044,60.116,0
22,0,36,2,15080,222,49,30,3,1,1,30,808.08,727.272,130.808,0
1,0,36,0,3035,24,478,6,3,1,1,30,2034.36,1830.924,253.436,0
6,0,35,0,15425,179,145,28,2,1,1,25,1354.68,1219.212,185.468,0
0,0,35,0,6440,83,181,24,3,1,1,30,984.92,886.428,148.492,0
0,0,35,0,815,11,0,9,2,1,2,25,37.17,33.453,60,0
0,0,36,0,650,11,8,6,2,1,2,25,65.745,59.1705,60,0
0,0,35,0,0,0,0,0,2,1,2,25,0,0,60,1
0,0,35,0,7448,124,379,41,2,1,1,25,2046.24,1841.616,254.624,0
4,0,35,0,11405,151,6,45,3,1,1,30,486.24,437.616,98.624,0
5,0,35,0,6658,72,103,35,2,1,1,25,766.35,689.715,126.635,0
20,0,31,0,895,44,11,15,2,1,2,25,91.755,82.5795,60,1
18,0,34,7,10375,90,0,40,4,1,1,45,261.625,235.4625,76.1625,0
10,0,34,0,5758,95,21,22,2,1,1,25,357.885,322.0965,85.7885,1
0,0,32,0,2780,19,0,12,3,1,1,30,111.96,100.764,61.196,0
6,0,33,0,2930,38,4,14,2,1,2,25,151.56,136.404,65.156,1
6,1,34,0,2208,41,29,29,3,1,2,30,205.96,185.364,70.596,1
0,1,34,0,0,0,0,0,3,1,2,30,0,0,60,1
0,0,34,0,1608,22,0,4,3,1,1,30,65.2,58.68,60,0
0,0,31,0,6725,94,9,20,4,1,1,45,192.975,173.6775,69.2975,0
0,0,34,0,568,4,4,2,4,1,2,45,24.3,21.87,60,1
0,0,34,0,0,0,0,0,5,1,1,55,0,0,60,0
22,0,29,2,16015,235,0,78,2,1,1,25,731.25,658.125,123.125,0
3,0,32,2,6905,113,266,31,2,2,1,25,1512.81,1361.529,201.281,0
0,0,34,0,3658,79,0,26,2,1,1,25,168.165,151.3485,66.8165,0
0,0,33,0,1605,41,33,18,3,1,2,30,197.84,178.056,69.784,0
3,0,34,0,2720,50,170,21,2,1,1,25,889.65,800.685,138.965,0
1,0,25,0,1255,33,188,9,2,2,1,25,903.96,813.564,140.396,0
1,0,24,0,1508,36,25,66,4,1,1,45,101.1,90.99,60.11,0
8,0,25,0,640,22,5,5,2,1,2,25,52.29,47.061,60,0
0,1,24,0,765,7,16,1,4,1,2,45,59.3,53.37,60,1
7,0,23,0,1165,29,14,11,2,1,1,25,116.73,105.057,61.673,0
0,0,23,0,3165,58,3,21,3,1,1,30,140.92,126.828,64.092,0
0,0,16,0,1635,23,23,12,2,1,1,25,178.11,160.299,67.811,0
13,0,15,0,6333,138,80,40,1,2,1,15,795.905,716.3145,129.5905,0
9,0,13,0,8873,168,68,38,4,1,1,45,396.025,356.4225,89.6025,0
5,0,14,2,2793,42,26,17,3,1,1,30,217.4,195.66,71.74,0
0,0,7,0,4330,37,210,8,3,1,1,30,1014.68,913.212,151.468,0
0,0,7,0,1428,16,0,5,3,1,1,30,57.76,51.984,60,1
9,0,42,1,4450,73,15,21,3,1,1,30,240.92,216.828,74.092,0
1,1,43,0,398,7,17,8,3,1,2,30,84.2,75.78,60,1
11,0,41,1,2533,62,369,28,3,1,1,30,1579.8,1421.82,207.98,0
11,0,42,1,4278,68,11,39,1,1,1,15,299.53,269.577,79.953,0
4,0,42,1,2473,60,12,37,2,1,1,25,167.985,151.1865,66.7985,0
12,0,42,2,3855,84,42,32,3,1,1,30,325.56,293.004,82.556,0
5,0,42,1,2440,41,295,22,3,1,1,30,1279.24,1151.316,177.924,0
14,0,41,3,9195,123,154,47,3,1,1,30,988.72,889.848,148.872,0
8,0,42,1,13853,171,10,48,3,1,1,30,600.96,540.864,110.096,0
8,0,42,2,4595,85,12,29,3,1,1,30,235.2,211.68,73.52,0
7,0,42,1,5998,97,17,16,3,1,1,30,311.8,280.62,81.18,0
10,0,42,0,2318,56,18,21,3,1,2,30,166.96,150.264,66.696,0
26,0,42,4,15220,227,64,36,3,2,1,30,873.88,786.492,137.388,0
5,0,42,2,3175,29,493,12,3,1,1,30,2100.16,1890.144,260.016,0
10,0,41,1,15565,184,160,34,2,1,1,25,1428.705,1285.8345,192.8705,0