CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
1,Male,0,Yes,No,1,Yes,DSL,Month-to-month,29.85,29.85,No
2,Female,0,No,No,34,Yes,DSL,One year,56.95,1889.5,No
3,Female,0,No,No,2,Yes,DSL,Month-to-month,53.85,108.15,Yes
4,Female,0,No,No,45,No,DSL,One year,42.3,1840.75,No
5,Male,0,No,No,2,Yes,Fiber optic,Month-to-month,70.7,151.65,Yes
6,Male,0,No,Yes,8,Yes,Fiber optic,Month-to-month,99.65,820.5,Yes
7,Female,0,No,No,22,Yes,Fiber optic,Month-to-month,89.1,1949.4,No
8,Male,0,Yes,No,10,No,DSL,Month-to-month,29.75,301.9,No
9,Male,0,No,Yes,28,Yes,Fiber optic,Month-to-month,104.8,3046.05,Yes
10,Female,0,Yes,Yes,62,Yes,DSL,One year,56.15,3487.95,No